uniqueTeamId,Air duel_Zone_1,Air duel_Zone_2,Air duel_Zone_3,Foul_Zone_1,Foul_Zone_2,Foul_Zone_3,Ground attacking duel_Zone_1,Ground attacking duel_Zone_2,Ground attacking duel_Zone_3,Ground defending duel_Zone_1,Ground defending duel_Zone_2,Ground defending duel_Zone_3,Ground loose ball duel_Zone_1,Ground loose ball duel_Zone_2,Ground loose ball duel_Zone_3,Touch_Zone_1,Touch_Zone_2,Touch_Zone_3,Acceleration,Air duel,Clearance,Foul,Goalkeeper leaving line,Ground attacking duel,Ground defending duel,Ground loose ball duel,Hand foul,Late card foul,Out of game foul,Protest,Simulation,Time lost foul,Touch,Violent Foul,Zone_1_Run,Zone_2_Run,Zone_3_Run,Backward Run,Forward Run,Side Run,Short Run,Middle Run,Long Run,average_acceleration_length,Forward_Runs_Zone_3
2446---2516789,2,15,4,1,6,2,4,20,17,15,17,6,7,20,8,13,10,3,3,21,9,9,0,41,38,35,0,0,0,0,0,0,26,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,32.84019166752122,0.0
2446---2516797,0,13,3,3,6,1,8,14,15,16,15,6,2,12,8,6,9,1,1,16,3,10,0,37,37,22,0,0,0,0,0,0,16,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,27.704151313476462,0.0
2446---2516807,1,11,7,2,4,3,7,15,20,15,15,8,6,9,6,19,15,17,8,19,5,9,0,42,38,21,0,0,0,0,0,0,51,0,2.0,4.0,2.0,0.0,8.0,0.0,4.0,4.0,0.0,22.28882152518582,2.0
2446---2516814,3,6,2,2,3,1,4,13,8,12,27,5,4,13,8,10,8,4,6,11,5,6,0,25,44,25,0,0,0,0,0,0,22,0,3.0,2.0,1.0,0.0,6.0,0.0,2.0,2.0,2.0,26.25188567070285,1.0
2446---2516825,8,12,10,1,6,0,5,13,18,12,18,5,5,11,7,15,14,8,5,30,8,7,1,36,35,23,0,0,0,0,0,0,37,0,0.0,5.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0,27.3423676648515,0.0
2446---2516835,8,15,6,2,4,1,10,19,9,14,13,1,12,13,5,9,12,5,2,29,7,7,1,38,28,30,0,0,0,0,0,0,26,0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,28.893234100670284,0.0
2446---2516843,0,7,4,2,6,1,6,22,28,14,13,9,3,11,7,8,16,6,6,11,3,9,1,56,36,21,2,0,0,1,0,0,30,0,3.0,3.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,22.72201061109648,0.0
2446---2516852,8,10,0,2,6,1,8,26,8,21,23,5,8,12,8,14,14,3,3,18,8,9,2,42,49,28,1,0,0,0,0,0,31,0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,20.510788871068545,0.0
2446---2516862,2,11,4,1,3,0,9,18,12,10,7,3,5,16,1,10,3,2,5,17,3,4,1,39,20,22,0,0,0,0,0,0,15,1,1.0,4.0,0.0,0.0,4.0,1.0,3.0,1.0,1.0,26.206488712817425,0.0
2446---2516873,8,12,8,0,3,2,7,18,16,29,20,6,8,6,3,11,11,6,4,28,12,5,0,41,55,17,0,0,0,0,0,0,28,0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,27.194941127561734,0.0
