uniqueTeamId,Air duel_Zone_1,Air duel_Zone_2,Air duel_Zone_3,Foul_Zone_1,Foul_Zone_2,Foul_Zone_3,Ground attacking duel_Zone_1,Ground attacking duel_Zone_2,Ground attacking duel_Zone_3,Ground defending duel_Zone_1,Ground defending duel_Zone_2,Ground defending duel_Zone_3,Ground loose ball duel_Zone_1,Ground loose ball duel_Zone_2,Ground loose ball duel_Zone_3,Touch_Zone_1,Touch_Zone_2,Touch_Zone_3,Acceleration,Air duel,Clearance,Foul,Goalkeeper leaving line,Ground attacking duel,Ground defending duel,Ground loose ball duel,Hand foul,Late card foul,Out of game foul,Protest,Simulation,Time lost foul,Touch,Violent Foul,Zone_1_Run,Zone_2_Run,Zone_3_Run,Backward Run,Forward Run,Side Run,Short Run,Middle Run,Long Run,average_acceleration_length,Forward_Runs_Zone_3
692---2565850,8,13,10,1,5,2,7,22,35,28,25,13,12,25,13,16,12,15,11,31,11,8,2,64,66,50,1,0,0,0,0,0,43,0,2.0,5.0,4.0,0.0,10.0,1.0,2.0,3.0,6.0,31.945665142453745,4.0
692---2565861,28,25,14,6,8,3,15,29,19,44,20,7,19,22,13,18,22,7,4,67,15,17,4,63,71,54,0,0,1,1,0,0,47,0,0.0,3.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0,25.489526851291775,1.0
692---2565874,2,20,6,0,6,3,12,14,36,37,34,15,4,11,11,21,11,16,10,28,7,9,1,62,86,26,0,0,1,0,0,0,48,0,2.0,6.0,2.0,0.0,7.0,3.0,4.0,2.0,4.0,25.64251732608012,1.0
692---2565878,13,21,18,1,7,6,7,21,33,31,26,5,8,21,14,14,21,12,2,52,18,14,1,61,62,43,0,0,0,0,0,0,47,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,29.941823945633246,0.0
692---2565888,5,26,10,2,3,3,22,36,51,31,34,12,11,20,17,26,26,11,4,41,11,8,1,109,77,48,0,0,0,0,0,0,63,0,1.0,3.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,28.043440119062225,0.0
692---2565902,8,24,6,0,4,2,10,35,35,22,16,9,8,15,14,16,14,13,14,38,21,6,0,80,47,37,0,0,1,0,0,0,43,0,2.0,9.0,3.0,0.0,11.0,3.0,2.0,5.0,7.0,32.64788129170922,1.0
692---2565912,3,8,4,2,3,4,17,23,16,28,21,13,9,13,7,24,16,7,6,15,17,9,1,56,62,29,0,0,0,0,0,0,47,0,1.0,5.0,0.0,0.0,6.0,0.0,2.0,2.0,2.0,26.624558720312095,0.0
692---2565918,7,10,6,1,4,2,13,14,34,38,31,13,11,9,13,17,17,13,3,23,8,7,0,61,82,33,1,0,1,0,0,0,47,0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,37.24307492778603,1.0
695---2565548,11,19,17,1,12,3,11,23,36,14,18,5,8,9,6,18,12,16,12,47,10,16,1,70,37,23,1,0,0,0,0,0,46,0,2.0,10.0,0.0,1.0,11.0,0.0,2.0,4.0,6.0,37.11432869896979,0.0
695---2565561,14,18,9,1,4,5,20,13,34,14,16,8,8,6,11,10,21,18,5,41,7,10,1,67,38,25,1,0,0,0,0,0,49,0,2.0,3.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,34.1213069680024,0.0
695---2565571,12,15,7,1,7,7,8,20,30,36,20,7,13,17,11,23,7,5,4,34,28,15,4,58,63,41,1,0,0,0,0,0,35,0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,48.503126325616975,0.0
695---2565587,9,23,13,3,9,9,7,40,32,23,26,14,16,11,13,16,15,9,6,45,19,21,1,79,63,40,0,0,0,0,0,0,40,0,2.0,3.0,1.0,0.0,6.0,0.0,2.0,1.0,3.0,32.842323931719605,1.0
695---2565591,20,12,8,5,3,3,5,20,53,29,12,11,8,15,12,23,19,9,2,40,22,11,4,78,52,35,1,0,0,0,0,0,51,0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,68.73782627648555,0.0
695---2565605,4,15,10,0,2,3,9,18,24,27,21,13,14,17,11,7,8,9,3,29,11,5,1,51,61,42,0,0,0,0,0,0,24,0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,27.8636731578852,0.0
695---2565614,6,15,19,4,4,3,9,34,34,29,18,11,14,16,23,7,8,8,4,40,10,11,1,77,58,53,0,0,0,0,0,0,23,0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,26.37073969605139,0.0
695---2565625,17,23,17,2,7,4,11,12,27,37,19,11,14,19,11,26,9,4,3,57,15,13,2,50,67,44,0,0,0,0,0,0,39,0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,24.743138745819596,0.0
695---2565628,19,32,14,3,9,6,11,47,26,35,25,16,13,25,27,14,19,9,4,65,18,18,2,84,76,65,0,0,0,0,0,0,42,0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,27.494434257812863,0.0
695---2565646,24,13,7,5,7,3,16,29,27,48,25,7,13,26,18,16,5,8,0,44,27,15,2,72,80,57,1,0,0,0,0,0,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695---2565652,8,14,8,2,6,0,5,23,30,21,23,4,14,14,10,8,18,1,6,30,10,8,0,58,48,38,1,0,0,0,1,0,27,0,0.0,4.0,2.0,0.0,5.0,1.0,1.0,4.0,1.0,26.160450523319074,2.0
695---2565665,9,16,7,5,11,7,16,29,35,38,31,15,12,21,12,15,11,7,7,32,12,23,2,80,84,45,0,0,0,0,0,1,33,0,2.0,5.0,0.0,0.0,7.0,0.0,0.0,3.0,4.0,33.73714966003055,0.0
695---2565669,5,9,8,2,7,2,14,28,57,24,29,8,6,13,7,26,27,14,3,22,5,11,0,99,61,26,0,0,0,0,0,0,67,0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,44.799600536816335,0.0
